[2024-12-19 15:34:36] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/sensor/0x842e14fffe63a757/power_on_behavior/config', payload ''
[2024-12-19 15:34:36] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/select/0x842e14fffe63a757/power_on_behavior/config', payload ''
[2024-12-19 15:34:36] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/select/0x842e14fffe63a757/identify/config', payload ''
[2024-12-19 15:34:36] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/button/0x842e14fffe63a757/identify/config', payload ''
[2024-12-19 15:34:36] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/sensor/0x842e14fffe63a757/linkquality/config', payload ''
[2024-12-19 15:34:36] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/sensor/0x842e14fffe63a757/update_state/config', payload ''
[2024-12-19 15:34:36] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/binary_sensor/0x842e14fffe63a757/update_available/config', payload ''
[2024-12-19 15:34:36] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/update/0x842e14fffe63a757/update/config', payload ''
[2024-12-19 15:34:38] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/switch/0x842e14fffe63a757/switch/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Sophie_Repeater_sophie/set","device":{"identifiers":["zigbee2mqtt_0x842e14fffe63a757"],"manufacturer":"IKEA","model":"TRADFRI control outlet (E1603/E1702/E1708)","name":"Sophie_Repeater_sophie","sw_version":"2.3.089","via_device":"zigbee2mqtt_bridge_0xbc026efffea9ca8d"},"name":null,"object_id":"sophie_repeater_sophie","origin":{"name":"Zigbee2MQTT","sw":"1.42.0","url":"https://www.zigbee2mqtt.io"},"payload_off":"OFF","payload_on":"ON","state_topic":"zigbee2mqtt/Sophie_Repeater_sophie","unique_id":"0x842e14fffe63a757_switch_zigbee2mqtt","value_template":"{{ value_json.state }}"}'
[2024-12-19 15:34:38] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/sensor/0x842e14fffe63a757/power_on_behavior/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"device":{"identifiers":["zigbee2mqtt_0x842e14fffe63a757"],"manufacturer":"IKEA","model":"TRADFRI control outlet (E1603/E1702/E1708)","name":"Sophie_Repeater_sophie","sw_version":"2.3.089","via_device":"zigbee2mqtt_bridge_0xbc026efffea9ca8d"},"enabled_by_default":false,"entity_category":"diagnostic","icon":"mdi:power-settings","name":"Power-on behavior","object_id":"sophie_repeater_sophie_power_on_behavior","origin":{"name":"Zigbee2MQTT","sw":"1.42.0","url":"https://www.zigbee2mqtt.io"},"state_topic":"zigbee2mqtt/Sophie_Repeater_sophie","unique_id":"0x842e14fffe63a757_power_on_behavior_zigbee2mqtt","value_template":"{{ value_json.power_on_behavior }}"}'
[2024-12-19 15:34:38] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/select/0x842e14fffe63a757/power_on_behavior/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Sophie_Repeater_sophie/set/power_on_behavior","device":{"identifiers":["zigbee2mqtt_0x842e14fffe63a757"],"manufacturer":"IKEA","model":"TRADFRI control outlet (E1603/E1702/E1708)","name":"Sophie_Repeater_sophie","sw_version":"2.3.089","via_device":"zigbee2mqtt_bridge_0xbc026efffea9ca8d"},"enabled_by_default":true,"entity_category":"config","icon":"mdi:power-settings","name":"Power-on behavior","object_id":"sophie_repeater_sophie_power_on_behavior","options":["off","on","toggle","previous"],"origin":{"name":"Zigbee2MQTT","sw":"1.42.0","url":"https://www.zigbee2mqtt.io"},"state_topic":"zigbee2mqtt/Sophie_Repeater_sophie","unique_id":"0x842e14fffe63a757_power_on_behavior_zigbee2mqtt","value_template":"{{ value_json.power_on_behavior }}"}'
[2024-12-19 15:34:38] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/select/0x842e14fffe63a757/identify/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Sophie_Repeater_sophie/set/identify","device":{"identifiers":["zigbee2mqtt_0x842e14fffe63a757"],"manufacturer":"IKEA","model":"TRADFRI control outlet (E1603/E1702/E1708)","name":"Sophie_Repeater_sophie","sw_version":"2.3.089","via_device":"zigbee2mqtt_bridge_0xbc026efffea9ca8d"},"device_class":"identify","enabled_by_default":false,"entity_category":"config","object_id":"sophie_repeater_sophie_identify","options":["identify"],"origin":{"name":"Zigbee2MQTT","sw":"1.42.0","url":"https://www.zigbee2mqtt.io"},"unique_id":"0x842e14fffe63a757_identify_zigbee2mqtt"}'
[2024-12-19 15:34:38] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/button/0x842e14fffe63a757/identify/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Sophie_Repeater_sophie/set/identify","device":{"identifiers":["zigbee2mqtt_0x842e14fffe63a757"],"manufacturer":"IKEA","model":"TRADFRI control outlet (E1603/E1702/E1708)","name":"Sophie_Repeater_sophie","sw_version":"2.3.089","via_device":"zigbee2mqtt_bridge_0xbc026efffea9ca8d"},"device_class":"identify","entity_category":"config","object_id":"sophie_repeater_sophie_identify","origin":{"name":"Zigbee2MQTT","sw":"1.42.0","url":"https://www.zigbee2mqtt.io"},"payload_press":"identify","unique_id":"0x842e14fffe63a757_identify_zigbee2mqtt"}'
[2024-12-19 15:34:38] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/sensor/0x842e14fffe63a757/linkquality/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"device":{"identifiers":["zigbee2mqtt_0x842e14fffe63a757"],"manufacturer":"IKEA","model":"TRADFRI control outlet (E1603/E1702/E1708)","name":"Sophie_Repeater_sophie","sw_version":"2.3.089","via_device":"zigbee2mqtt_bridge_0xbc026efffea9ca8d"},"enabled_by_default":false,"entity_category":"diagnostic","icon":"mdi:signal","name":"Linkquality","object_id":"sophie_repeater_sophie_linkquality","origin":{"name":"Zigbee2MQTT","sw":"1.42.0","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/Sophie_Repeater_sophie","unique_id":"0x842e14fffe63a757_linkquality_zigbee2mqtt","unit_of_measurement":"lqi","value_template":"{{ value_json.linkquality }}"}'
[2024-12-19 15:34:38] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/sensor/0x842e14fffe63a757/update_state/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"device":{"identifiers":["zigbee2mqtt_0x842e14fffe63a757"],"manufacturer":"IKEA","model":"TRADFRI control outlet (E1603/E1702/E1708)","name":"Sophie_Repeater_sophie","sw_version":"2.3.089","via_device":"zigbee2mqtt_bridge_0xbc026efffea9ca8d"},"enabled_by_default":false,"entity_category":"diagnostic","icon":"mdi:update","name":"Update state","object_id":"sophie_repeater_sophie_update_state","origin":{"name":"Zigbee2MQTT","sw":"1.42.0","url":"https://www.zigbee2mqtt.io"},"state_topic":"zigbee2mqtt/Sophie_Repeater_sophie","unique_id":"0x842e14fffe63a757_update_state_zigbee2mqtt","value_template":"{{ value_json['update']['state'] }}"}'
[2024-12-19 15:34:38] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/binary_sensor/0x842e14fffe63a757/update_available/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"device":{"identifiers":["zigbee2mqtt_0x842e14fffe63a757"],"manufacturer":"IKEA","model":"TRADFRI control outlet (E1603/E1702/E1708)","name":"Sophie_Repeater_sophie","sw_version":"2.3.089","via_device":"zigbee2mqtt_bridge_0xbc026efffea9ca8d"},"device_class":"update","enabled_by_default":false,"entity_category":"diagnostic","name":null,"object_id":"sophie_repeater_sophie_update_available","origin":{"name":"Zigbee2MQTT","sw":"1.42.0","url":"https://www.zigbee2mqtt.io"},"payload_off":false,"payload_on":true,"state_topic":"zigbee2mqtt/Sophie_Repeater_sophie","unique_id":"0x842e14fffe63a757_update_available_zigbee2mqtt","value_template":"{{ value_json['update']['state'] == \"available\" }}"}'
